date,lines,messages,nicks,tz,format,source,days_observed,days_in_range,undated_lines,fragments
2004-04-04,37,0,0,unknown,undated,jbosnu/2004_04/jbosnu-robins_history_04_Apr_2004.txt,,,37,1
2004-04-08,5,3,2,unknown,undated,jbosnu/2004_04/2004_04_08-14_29.txt,,,5,1
2004-04-09,6,3,2,unknown,undated,jbosnu/2004_04/2004_04_09-02_21.txt,,,6,1
2004-04-10,13,7,2,unknown,undated,jbosnu/2004_04/2004_04_10-02_21.txt,,,13,1
2004-04-11,19,3,2,unknown,undated,jbosnu/2004_04/2004_04_11-02_21.txt,,,19,1
2004-04-12,17,2,2,unknown,undated,jbosnu/2004_04/2004_04_12-02_21.txt,,,17,1
2004-04-13,7,0,0,unknown,undated,jbosnu/2004_04/2004_04_13-02_21.txt,,,7,1
2004-04-14,11,0,0,unknown,undated,jbosnu/2004_04/2004_04_14-02_21.txt,,,11,1
2004-04-15,6,0,0,unknown,undated,jbosnu/2004_04/2004_04_15-02_21.txt,,,6,1
2004-04-16,11,0,0,unknown,undated,jbosnu/2004_04/2004_04_16-02_21.txt,,,11,1
2004-04-17,5,0,0,unknown,undated,jbosnu/2004_04/2004_04_17-02_21.txt,,,5,1
2004-04-18,12,0,0,unknown,undated,jbosnu/2004_04/2004_04_18-02_21.txt,,,12,1
2004-04-19,11,0,0,unknown,undated,jbosnu/2004_04/2004_04_19-02_21.txt,,,11,1
2004-04-20,7,0,0,unknown,undated,jbosnu/2004_04/2004_04_20-02_21.txt,,,7,1
2004-04-21,10,4,2,unknown,undated,jbosnu/2004_04/2004_04_21-02_21.txt,,,10,1
2004-04-22,6,0,0,unknown,undated,jbosnu/2004_04/2004_04_22-02_21.txt,,,6,1
2004-04-23,5,0,0,unknown,undated,jbosnu/2004_04/2004_04_23-02_21.txt,,,5,1
2004-04-24,9,0,0,unknown,undated,jbosnu/2004_04/2004_04_24-02_21.txt,,,9,1
2004-04-25,6,0,0,unknown,undated,jbosnu/2004_04/2004_04_25-02_21.txt,,,6,1
2004-04-26,11,0,0,unknown,undated,jbosnu/2004_04/2004_04_26-02_21.txt,,,11,1
2004-04-27,7,0,0,unknown,undated,jbosnu/2004_04/2004_04_27-02_21.txt,,,7,1
2004-04-28,4,0,0,unknown,undated,jbosnu/2004_04/2004_04_28-02_21.txt,,,4,1
2004-04-29,5,0,0,unknown,undated,jbosnu/2004_04/2004_04_29-02_21.txt,,,5,1
2004-04-30,7,1,1,unknown,undated,jbosnu/2004_04/2004_04_30-02_21.txt,,,7,1
2004-05-01,10,0,0,unknown,undated,jbosnu/2004_05/2004_05_01-02_21.txt,,,10,1
2004-05-02,7,0,0,unknown,undated,jbosnu/2004_05/2004_05_02-02_21.txt,,,7,1
2004-05-03,4,0,0,unknown,undated,jbosnu/2004_05/2004_05_03-02_21.txt,,,4,1
2004-05-04,4,0,0,unknown,undated,jbosnu/2004_05/2004_05_04-02_21.txt,,,4,1
2004-05-05,6,0,0,unknown,undated,jbosnu/2004_05/2004_05_05-02_21.txt,,,6,1
2004-05-06,9,0,0,unknown,undated,jbosnu/2004_05/2004_05_06-02_21.txt,,,9,1
2004-05-07,6,0,0,unknown,undated,jbosnu/2004_05/2004_05_07-02_21.txt,,,6,1
2004-05-08,7,0,0,unknown,undated,jbosnu/2004_05/2004_05_08-02_21.txt,,,7,1
2004-05-09,4,0,0,unknown,undated,jbosnu/2004_05/2004_05_09-02_21.txt,,,4,1
2004-05-10,9,0,0,unknown,undated,jbosnu/2004_05/2004_05_10-02_21.txt,,,9,1
2004-05-11,12,0,0,unknown,undated,jbosnu/2004_05/2004_05_11-02_21.txt,,,12,1
2004-05-12,4,0,0,unknown,undated,jbosnu/2004_05/2004_05_12-02_21.txt,,,4,1
2004-05-13,6,0,0,unknown,undated,jbosnu/2004_05/2004_05_13-02_21.txt,,,6,1
2004-05-14,7,0,0,unknown,undated,jbosnu/2004_05/2004_05_14-02_21.txt,,,7,1
2004-05-15,5,0,0,unknown,undated,jbosnu/2004_05/2004_05_15-02_21.txt,,,5,1
2004-05-16,7,3,2,unknown,undated,jbosnu/2004_05/2004_05_16-02_21.txt,,,7,1
2004-05-17,3,0,0,unknown,undated,jbosnu/2004_05/2004_05_17-02_21.txt,,,3,1
2004-05-18,8,0,0,unknown,undated,jbosnu/2004_05/2004_05_18-02_21.txt,,,8,1
2004-05-19,3,0,0,unknown,undated,jbosnu/2004_05/2004_05_19-02_21.txt,,,3,1
2004-05-20,4,0,0,unknown,undated,jbosnu/2004_05/2004_05_20-02_21.txt,,,4,1
2004-05-21,10,0,0,unknown,undated,jbosnu/2004_05/2004_05_21-02_21.txt,,,10,1
2004-05-22,6,0,0,unknown,undated,jbosnu/2004_05/2004_05_22-02_21.txt,,,6,1
2004-05-23,15,0,0,unknown,undated,jbosnu/2004_05/2004_05_23-02_21.txt,,,15,1
2004-05-24,18,0,0,unknown,undated,jbosnu/2004_05/2004_05_24-02_21.txt,,,18,1
2004-05-25,12,0,0,unknown,undated,jbosnu/2004_05/2004_05_25-02_21.txt,,,12,1
2004-05-26,8,0,0,unknown,undated,jbosnu/2004_05/2004_05_26-02_22.txt,,,8,1
2004-05-27,12,0,0,unknown,undated,jbosnu/2004_05/2004_05_27-02_21.txt,,,12,1
2004-05-28,5,0,0,unknown,undated,jbosnu/2004_05/2004_05_28-02_21.txt,,,5,1
2004-05-29,7,0,0,unknown,undated,jbosnu/2004_05/2004_05_29-02_21.txt,,,7,1
