list,thread_key,root_message_id,messages,path
announce,1f32504c0ede-test_2%2E,20030517223700.gs3216@digitalkingdom.org,1,mail/announce/threads/2003/1f32504c0ede-test_2%2E.txt
announce,0aff9cd060e8-%E6%98%8E%E6%99%BA%E7%9A%84%E9%80%89%E6%8B%A9,e1dovzl-0000rn-0k@chain.digitalkingdom.org,2,mail/announce/threads/2005/0aff9cd060e8-%E6%98%8E%E6%99%BA%E7%9A%84%E9%80%89%E6%8B%A9.txt
announce,768b11bfc2ff-%C2%A4u%C2%A4%C3%A8_02%3A54%3A45%C3%A1%C3%AE%C3,e1dtmpj-0000ne-4k@chain.digitalkingdom.org,1,mail/announce/threads/2005/768b11bfc2ff-%C2%A4u%C2%A4%C3%A8_02%3A54%3A45%C3%A1%C3%AE%C3.txt
announce,b73cdd59a1f6-%C2%A4w%C2%A4%C3%A8_01%3A11%3A56%C3%AE%C3%B2%C3,e1duhvs-0005ne-ik@chain.digitalkingdom.org,1,mail/announce/threads/2005/b73cdd59a1f6-%C2%A4w%C2%A4%C3%A8_01%3A11%3A56%C3%AE%C3%B2%C3.txt
announce,600eee8dabd5-%C2%A4u%C2%A4%C3%A8_10%3A39%3A46%C3%AE%C2%AA%C2,e1dyslu-0001un-2q@chain.digitalkingdom.org,1,mail/announce/threads/2005/600eee8dabd5-%C2%A4u%C2%A4%C3%A8_10%3A39%3A46%C3%AE%C2%AA%C2.txt
announce,069006bf1a83-%E6%84%BF%E4%BD%A0%E6%AF%8F%E5%A4%A9%E6%9C%89%E,e1e5b3o-0005xg-on@chain.digitalkingdom.org,2,mail/announce/threads/2005/069006bf1a83-%E6%84%BF%E4%BD%A0%E6%AF%8F%E5%A4%A9%E6%9C%89%E.txt
announce,3c9b861402c8-400%C3%AD%C3%B2%2E%2E%2E%C3%B4%C2%AD%C3%A0%C2%B,e1efder-0004k9-jq@chain.digitalkingdom.org,1,mail/announce/threads/2005/3c9b861402c8-400%C3%AD%C3%B2%2E%2E%2E%C3%B4%C2%AD%C3%A0%C2%B.txt
announce,4b8532498dc6-%C2%BA%C3%AE_%C2%B4%C2%A6_%C3%A8%C2%A5_%CE%BC%C,e1edrf0-00065g-fn@chain.digitalkingdom.org,1,mail/announce/threads/2005/4b8532498dc6-%C2%BA%C3%AE_%C2%B4%C2%A6_%C3%A8%C2%A5_%CE%BC%C.txt
announce,c2b99c3b04d4-%C3%A7%C3%AB%C2%BE%C2%B2%C3%AF%C3%A2%C3%A0%C2%B,e1eia9m-0006eb-de@chain.digitalkingdom.org,1,mail/announce/threads/2005/c2b99c3b04d4-%C3%A7%C3%AB%C2%BE%C2%B2%C3%AF%C3%A2%C3%A0%C2%B.txt
announce,cbbd0e28f0c9-cheap_oem_soft_shipping_%2F%2Forldwide,000001c66186$a053db80$0100007f@localhost,1,mail/announce/threads/2006/cbbd0e28f0c9-cheap_oem_soft_shipping_%2F%2Forldwide.txt
announce,89f64cf10d86-%E8%B6%85%E7%BA%A7%E5%85%8D%E8%B4%B9%E5%8F%91%E,e1fxft8-0000nw-7l@chain.digitalkingdom.org,1,mail/announce/threads/2006/89f64cf10d86-%E8%B6%85%E7%BA%A7%E5%85%8D%E8%B4%B9%E5%8F%91%E.txt
announce,d22f693b1b13-test_example,1f194146-c6b9-4af1-b3dd-462c407830bc@l9g2000yqi.googlegroups.com,13,mail/announce/threads/2009/d22f693b1b13-test_example.txt
announce,5a26e53bb311-an_idea%2E,20090902172415.gt32444@digitalkingdom.org,2,mail/announce/threads/2009/5a26e53bb311-an_idea%2E.txt
announce,053ea84da76c-lojban_certification_program,00c09f99e242d97fd6047299a5fa@google.com,7,mail/announce/threads/2009/053ea84da76c-lojban_certification_program.txt
announce,39c869a01e95-how_many_levels,e6663d200909021236h3e524716s47ef3826e2a4f4ba@mail.gmail.com,6,mail/announce/threads/2009/39c869a01e95-how_many_levels.txt
announce,9c72b689ff50-database,200909022249.57041.phma@phma.optus.nu,1,mail/announce/threads/2009/9c72b689ff50-database.txt
announce,daa375eef277-number_of_alternatives%3F,200909090027.38831.phma@phma.optus.nu,7,mail/announce/threads/2009/daa375eef277-number_of_alternatives%3F.txt
announce,e951b599dab9-fu'ivla_formation_question,200909101957.22790.phma@phma.optus.nu,2,mail/announce/threads/2009/e951b599dab9-fu'ivla_formation_question.txt
announce,95ec679561be-what_are_we_after%3F,4abd07e5.2020301@kli.org,3,mail/announce/threads/2009/95ec679561be-what_are_we_after%3F.txt
announce,53b994c7339c-list_matching_questions,200910162344.47831.phma@phma.optus.nu,7,mail/announce/threads/2009/53b994c7339c-list_matching_questions.txt
announce,521a1058d464-the_funniest_stuff_i_have_ever_seen%29%29%29%29,ee0b241b-a867-4c2f-b07b-608bec713286@f10g2000vbl.googlegroups.com,1,mail/announce/threads/2009/521a1058d464-the_funniest_stuff_i_have_ever_seen%29%29%29%29.txt
announce,7496318cda0e-monkey_and_woman_fighting%29%29lol%29%29,08b43eaa-073b-4c71-ba36-3454943c4cca@b18g2000vbl.googlegroups.com,1,mail/announce/threads/2009/7496318cda0e-monkey_and_woman_fighting%29%29lol%29%29.txt
announce,f2b0233488a2-prohibited_nasa_video,f977bd20-fe3c-4c68-b845-c3665dddede7@b2g2000yqi.googlegroups.com,1,mail/announce/threads/2009/f2b0233488a2-prohibited_nasa_video.txt
announce,d8689e173ef5-anybody_alive_here%3F%29,138e6474-041b-40d9-b81b-534d1f7177f1@v25g2000yqk.googlegroups.com,1,mail/announce/threads/2009/d8689e173ef5-anybody_alive_here%3F%29.txt
announce,3b5ed13bb67d-porn_tube_2%21_%5Bwarning%3A_adult_content%5D,b584b35b-e5ce-4796-b2dc-8865dac6cf19@l2g2000yqd.googlegroups.com,1,mail/announce/threads/2009/3b5ed13bb67d-porn_tube_2%21_%5Bwarning%3A_adult_content%5D.txt
