list,thread_key,root_message_id,messages,path
bpfk-announce,7e521c8b5192-test,p05200f1abaaa09643a16@[128.250.86.174],1,mail/bpfk-announce/threads/2003/7e521c8b5192-test.txt
bpfk-announce,3cbe2b527cf3-bpfk_open_for_business,p05200f1cbaaa0b5db077@[128.250.86.174],1,mail/bpfk-announce/threads/2003/3cbe2b527cf3-bpfk_open_for_business.txt
bpfk-announce,f9167023cfab-register_%26_vett,a97c6620-62b0-11d7-aed5-003065d4ec72@optushome.com.au,1,mail/bpfk-announce/threads/2003/f9167023cfab-register_%26_vett.txt
bpfk-announce,5f26795ecd34-how-to%3A_bpfk_setup_change_requests%2E,20030428034449.gc22216@digitalkingdom.org,2,mail/bpfk-announce/threads/2003/5f26795ecd34-how-to%3A_bpfk_setup_change_requests%2E.txt
bpfk-announce,3552426fd54b-%2D_new_post_-_salvo_1%3A_27_april,e19a9ll-00067c-00@digitalkingdom.org,2,mail/bpfk-announce/threads/2003/3552426fd54b-%2D_new_post_-_salvo_1%3A_27_april.txt
bpfk-announce,cb45a912ae71-meta-bpfk_poll,ea6fac17-baae-11d7-a57e-003065d4ec72@optushome.com.au,1,mail/bpfk-announce/threads/2003/cb45a912ae71-meta-bpfk_poll.txt
bpfk-announce,b3358718f8db-polls_delayed_%3A-%28,80746897-bab0-11d7-a57e-003065d4ec72@optushome.com.au,1,mail/bpfk-announce/threads/2003/b3358718f8db-polls_delayed_%3A-%28.txt
bpfk-announce,f9b8be1f0c68-polls_working,e5a4531d-bc5d-11d7-9438-003065d4ec72@optushome.com.au,1,mail/bpfk-announce/threads/2003/f9b8be1f0c68-polls_working.txt
bpfk-announce,47856ab92fcb-phpbb_conversion%3F,20031029234425.gd32004@lojban.org,4,mail/bpfk-announce/threads/2003/47856ab92fcb-phpbb_conversion%3F.txt
bpfk-announce,"0bd267861bd6-all_right,_let's_do_this%2E",20031112000056.gt4805@digitalkingdom.org,4,"mail/bpfk-announce/threads/2003/0bd267861bd6-all_right,_let's_do_this%2E.txt"
bpfk-announce,c652f18339bd-new_member%3A_theodore_alexander_reed,20031113014448.gv4805@digitalkingdom.org,2,mail/bpfk-announce/threads/2003/c652f18339bd-new_member%3A_theodore_alexander_reed.txt
bpfk-announce,"2b4219d4828a-don't_edit_other_shepherd's_pages,_please%21",e1akpj8-0005z3-1v@chain.digitalkingdom.org,2,"mail/bpfk-announce/threads/2003/2b4219d4828a-don't_edit_other_shepherd's_pages,_please%21.txt"
bpfk-announce,a99e618b5d73-someone_take_by2_please%2E,20031115011945.gp15718@digitalkingdom.org,5,mail/bpfk-announce/threads/2003/a99e618b5d73-someone_take_by2_please%2E.txt
bpfk-announce,eee3106104b0-moving_on%2E%2E%2E,20040103215630.gf22347@digitalkingdom.org,1,mail/bpfk-announce/threads/2004/eee3106104b0-moving_on%2E%2E%2E.txt
bpfk-announce,9fbdb259482f-my_apologies%2E,20040103220230.gg22347@digitalkingdom.org,1,mail/bpfk-announce/threads/2004/9fbdb259482f-my_apologies%2E.txt
bpfk-announce,"51c11a78d5c8-procedural_issue%3A_comments_%28cowan,_read_thi",20040103221701.gh22347@digitalkingdom.org,1,"mail/bpfk-announce/threads/2004/51c11a78d5c8-procedural_issue%3A_comments_%28cowan,_read_thi.txt"
bpfk-announce,ec2e809e4fd4-re-vote_please%2E,20040128233854.gl11006@digitalkingdom.org,2,mail/bpfk-announce/threads/2004/ec2e809e4fd4-re-vote_please%2E.txt
bpfk-announce,11e3303e4743-checkpoint_imminent%3A_one_week%2E,20040202194741.gs1943@digitalkingdom.org,1,mail/bpfk-announce/threads/2004/11e3303e4743-checkpoint_imminent%3A_one_week%2E.txt
bpfk-announce,6463ea255060-next_checkpoint,20040214185640.gd18463@digitalkingdom.org,2,mail/bpfk-announce/threads/2004/6463ea255060-next_checkpoint.txt
bpfk-announce,77da3ec78f0c-trying_again%2E,20040308005400.gs11847@digitalkingdom.org,7,mail/bpfk-announce/threads/2004/77da3ec78f0c-trying_again%2E.txt
bpfk-announce,"5791579e0e72-%7Bplease_read%7D_lerfu_checkpoint_ends_wed,_17",20040314091931.gm11847@digitalkingdom.org,2,"mail/bpfk-announce/threads/2004/5791579e0e72-%7Bplease_read%7D_lerfu_checkpoint_ends_wed,_17.txt"
bpfk-announce,65fd4bc6851e-%7Bannounce%7D_first_bpfk_checkpoint_complete,20040318065333.gw11847@digitalkingdom.org,1,mail/bpfk-announce/threads/2004/65fd4bc6851e-%7Bannounce%7D_first_bpfk_checkpoint_complete.txt
bpfk-announce,b1ee8d434f08-changing_checkpoints%3F,20040412183303.gh21966@digitalkingdom.org,3,mail/bpfk-announce/threads/2004/b1ee8d434f08-changing_checkpoints%3F.txt
bpfk-announce,68c400cf831c-please_welcome_adam_lopresto,20040412211117.gu21966@digitalkingdom.org,1,mail/bpfk-announce/threads/2004/68c400cf831c-please_welcome_adam_lopresto.txt
bpfk-announce,9e7c1bfc9ff4-rob_speer_takes_anaphoric_pro-sumti%3B_still_ne,20040413190458.gp21966@digitalkingdom.org,1,mail/bpfk-announce/threads/2004/9e7c1bfc9ff4-rob_speer_takes_anaphoric_pro-sumti%3B_still_ne.txt
bpfk-announce,5e94d468d926-gismu_jbovlaste_keywords_poll%2E,20040429224346.gd14939@digitalkingdom.org,5,mail/bpfk-announce/threads/2004/5e94d468d926-gismu_jbovlaste_keywords_poll%2E.txt
bpfk-announce,15bafa5bc72a-aspect_section_open_for_voting%2E,20040502035756.gx14939@digitalkingdom.org,3,mail/bpfk-announce/threads/2004/15bafa5bc72a-aspect_section_open_for_voting%2E.txt
bpfk-announce,f23f9140fa93-belated_announcement%3A_xorxes_shepherds_gadri%,20040520013555.gb6978@chain.digitalkingdom.org,1,mail/bpfk-announce/threads/2004/f23f9140fa93-belated_announcement%3A_xorxes_shepherds_gadri%.txt
bpfk-announce,"9a0322993df8-warning%3A_people_are_going_to_be_ejected,_mayb",20040525012223.gv10536@chain.digitalkingdom.org,1,"mail/bpfk-announce/threads/2004/9a0322993df8-warning%3A_people_are_going_to_be_ejected,_mayb.txt"
bpfk-announce,9e7a81d8dddc-current_checkpoint%3A_gadri,20040525031402.gc10536@chain.digitalkingdom.org,1,mail/bpfk-announce/threads/2004/9e7a81d8dddc-current_checkpoint%3A_gadri.txt
bpfk-announce,"a9cb0884b1ff-gadri_voting_closes_on_saturday,_june_5th",20040528014832.gf818@chain.digitalkingdom.org,1,"mail/bpfk-announce/threads/2004/a9cb0884b1ff-gadri_voting_closes_on_saturday,_june_5th.txt"
bpfk-announce,4d16f54c010d-gadri_voting_extended_for_24_hours,20040606000113.gd22448@chain.digitalkingdom.org,2,mail/bpfk-announce/threads/2004/4d16f54c010d-gadri_voting_extended_for_24_hours.txt
bpfk-announce,996e7ac7603a-new_gadri_vote_closing_algorithm,20040607201425.gv15653@chain.digitalkingdom.org,1,mail/bpfk-announce/threads/2004/996e7ac7603a-new_gadri_vote_closing_algorithm.txt
bpfk-announce,6e3615a72356-jatna%3A_about%2E%2E%2E_face%21,20040608235647.gj15653@chain.digitalkingdom.org,1,mail/bpfk-announce/threads/2004/6e3615a72356-jatna%3A_about%2E%2E%2E_face%21.txt
bpfk-announce,b0446942c621-protected_message,rhhcbcefgdgcsvdvjkm@lojban.org,1,mail/bpfk-announce/threads/2004/b0446942c621-protected_message.txt
bpfk-announce,77f55055ec6c-pre-rump_mega-vote,20040609170900.gr15653@chain.digitalkingdom.org,1,mail/bpfk-announce/threads/2004/77f55055ec6c-pre-rump_mega-vote.txt
bpfk-announce,04b346ebad69-irrelevant_votes%2E,20040616232030.ge31223@chain.digitalkingdom.org,2,mail/bpfk-announce/threads/2004/04b346ebad69-irrelevant_votes%2E.txt
bpfk-announce,199015e7d9b7-gadri_update%3B_please_respond%21_pretty_please,20040703230727.ga32105@chain.digitalkingdom.org,7,mail/bpfk-announce/threads/2004/199015e7d9b7-gadri_update%3B_please_respond%21_pretty_please.txt
bpfk-announce,901e824cd7a9-%2Aany%2A_%2Atime%2A%2E,20040728210417.gd31033@chain.digitalkingdom.org,9,mail/bpfk-announce/threads/2004/901e824cd7a9-%2Aany%2A_%2Atime%2A%2E.txt
bpfk-announce,"4cc6fd010ff3-take_a_look_at_this,_please%2E",20040729223439.gn26156@chain.digitalkingdom.org,1,"mail/bpfk-announce/threads/2004/4cc6fd010ff3-take_a_look_at_this,_please%2E.txt"
bpfk-announce,5c24f4639add-staff_bulletin,854vu-93f2289$3239m78er0j2392@wh0k58.yu,2,mail/bpfk-announce/threads/2004/5c24f4639add-staff_bulletin.txt
bpfk-announce,e3e073f1e816-buncha_sections_for_xorxes%2E,20040810233156.gp30673@chain.digitalkingdom.org,2,mail/bpfk-announce/threads/2004/e3e073f1e816-buncha_sections_for_xorxes%2E.txt
