list,thread_key,root_message_id,messages,path
lojban-announcements,68db9965495b-google_groups%3A_you've_been_added_to_lojban_an,bff141707ec50c660703954d5bdd1e33565f3f13@jbomohi.invalid,1,mail/lojban-announcements/threads/2010/68db9965495b-google_groups%3A_you've_been_added_to_lojban_an.txt
lojban-announcements,711ab6d8972a-announcing_the_lojban_announcements_list%2E,20100329202813.ga6084@digitalkingdom.org,1,mail/lojban-announcements/threads/2010/711ab6d8972a-announcing_the_lojban_announcements_list%2E.txt
lojban-announcements,00ce2853bed3-smart%2Efm_flashcards,20100329204535.gb6084@digitalkingdom.org,1,mail/lojban-announcements/threads/2010/00ce2853bed3-smart%2Efm_flashcards.txt
lojban-announcements,2825cf2277eb-the_llg%2Fbpfk_could_use_some_helpers%2E,20100331215311.gb6084@digitalkingdom.org,1,mail/lojban-announcements/threads/2010/2825cf2277eb-the_llg%2Fbpfk_could_use_some_helpers%2E.txt
lojban-announcements,"8c2a3533bc86-essay_on_the_future_of_lojban,_with_a_simple_po",20100405210225.gw6084@digitalkingdom.org,1,"mail/lojban-announcements/threads/2010/8c2a3533bc86-essay_on_the_future_of_lojban,_with_a_simple_po.txt"
lojban-announcements,aa55cb8594e8-please_do_not_cross-post%21,20100415065333.gv20647@digitalkingdom.org,1,mail/lojban-announcements/threads/2010/aa55cb8594e8-please_do_not_cross-post%21.txt
lojban-announcements,a46bbddbf6c0-let's_play_cantr_in_lojban%21,6a2c862a-91f0-452e-9a31-0064620d5d06@g11g2000yqe.googlegroups.com,1,mail/lojban-announcements/threads/2010/a46bbddbf6c0-let's_play_cantr_in_lojban%21.txt
lojban-announcements,f2eeb017d207-spare_room_%28sort_of%29_for_jbonunsla%2Flogfes,20100422223825.go20647@digitalkingdom.org,1,mail/lojban-announcements/threads/2010/f2eeb017d207-spare_room_%28sort_of%29_for_jbonunsla%2Flogfes.txt
lojban-announcements,03d74b8bb6cd-request_for_help%3B_non-urgent_research_request,20100407053428.ga9239@digitalkingdom.org,1,mail/lojban-announcements/threads/2010/03d74b8bb6cd-request_for_help%3B_non-urgent_research_request.txt
lojban-announcements,baeedadd806b-new_llg_president,20100411183040.gi20647@digitalkingdom.org,1,mail/lojban-announcements/threads/2010/baeedadd806b-new_llg_president.txt
lojban-announcements,"74ac31fd2d20-web_programming_request,_%2Avery%2A_simple%2E_i",20100412203154.gu20647@digitalkingdom.org,1,"mail/lojban-announcements/threads/2010/74ac31fd2d20-web_programming_request,_%2Avery%2A_simple%2E_i.txt"
lojban-announcements,"1b325f9c94e3-if_you're_reading_this,_%2Ayou%2A_are_the_bpfk_",20100413070335.gw20647@digitalkingdom.org,1,"mail/lojban-announcements/threads/2010/1b325f9c94e3-if_you're_reading_this,_%2Ayou%2A_are_the_bpfk_.txt"
lojban-announcements,03554cd47477-new_parrot_sketch_video_on_youtube%2E,4be5e6a4.2000700@perpetuum-immobile.de,1,mail/lojban-announcements/threads/2010/03554cd47477-new_parrot_sketch_video_on_youtube%2E.txt
lojban-announcements,"44f8be25d66d-if_you_have_problems_with_lojban,_now's_the_tim",20101014195454.gb24066@digitalkingdom.org,1,"mail/lojban-announcements/threads/2010/44f8be25d66d-if_you_have_problems_with_lojban,_now's_the_tim.txt"
lojban-announcements,"a3ccec66b4b2-active_lojbanist_near_washington,_dc%3F",20101027164055.gt1105@digitalkingdom.org,1,"mail/lojban-announcements/threads/2010/a3ccec66b4b2-active_lojbanist_near_washington,_dc%3F.txt"
lojban-announcements,e566fdd424f0-lojban_web_programming_help%3F,20101120001959.ge9301@digitalkingdom.org,5,mail/lojban-announcements/threads/2010/e566fdd424f0-lojban_web_programming_help%3F.txt
lojban-announcements,6854d88377ec-help_with_cllv1%2E1_needed%2E_mostly_does_%2Ano,20101220023210.gp24603@digitalkingdom.org,1,mail/lojban-announcements/threads/2010/6854d88377ec-help_with_cllv1%2E1_needed%2E_mostly_does_%2Ano.txt
lojban-announcements,dae7efa2053d-announcing_the_lcs_advisory_board,aanlktimn-uyjikx9m=kc9qapxha8klphkasxpzzkci=y@mail.gmail.com,1,mail/lojban-announcements/threads/2011/dae7efa2053d-announcing_the_lcs_advisory_board.txt
lojban-announcements,63a037a14e7a-a_place_for_lojban_to_expand,c9d5fd35.28c%ase.deliri@deliri.com,2,mail/lojban-announcements/threads/2011/63a037a14e7a-a_place_for_lojban_to_expand.txt
lojban-announcements,edb128fe10cb-still_need_cllv1%2E1_help%2E,20110527193048.go11152@digitalkingdom.org,1,mail/lojban-announcements/threads/2011/edb128fe10cb-still_need_cllv1%2E1_help%2E.txt
lojban-announcements,50166b523d6b-official_jbonunsla%2Flogfest_annoucement,20110622002610.gk8547@digitalkingdom.org,2,mail/lojban-announcements/threads/2011/50166b523d6b-official_jbonunsla%2Flogfest_annoucement.txt
lojban-announcements,c0f36b5ca847-warning%3A_web_server_move,20110830074908.gp23836@digitalkingdom.org,1,mail/lojban-announcements/threads/2011/c0f36b5ca847-warning%3A_web_server_move.txt
