list,thread_key,root_message_id,messages,path
lojban-beginners,c70ed9f87002-smart%2Efm,401240.5931.qm@web88003.mail.re2.yahoo.com,6,mail/lojban-beginners/threads/2010/c70ed9f87002-smart%2Efm.txt
lojban-beginners,5a50a65c4571-starting_stories,1f1080831002101527h41ecc51dr31eb898ec73e744@mail.gmail.com,14,mail/lojban-beginners/threads/2010/5a50a65c4571-starting_stories.txt
lojban-beginners,e650ce23c316-getting_my_computer_to_talk_in_lojban,7177e42e1002011407v68b5a54fs19e9398211aa4ac0@mail.gmail.com,13,mail/lojban-beginners/threads/2010/e650ce23c316-getting_my_computer_to_talk_in_lojban.txt
lojban-beginners,38d996ff8089-la_orestis%2E%2E%2Egrammar_question,1f1080831002122116g3aa31265n5546866fc2a2e48e@mail.gmail.com,3,mail/lojban-beginners/threads/2010/38d996ff8089-la_orestis%2E%2E%2Egrammar_question.txt
lojban-beginners,80f735c8cc66-help%21_the_xorlo_are_attacking%21,218950.62113.qm@web46104.mail.sp1.yahoo.com,23,mail/lojban-beginners/threads/2010/80f735c8cc66-help%21_the_xorlo_are_attacking%21.txt
lojban-beginners,c252174f1434-lojban%2Eorg_is_a_wiki_%2Afor_a_reason%2A%2E,20100216015756.gw19917@digitalkingdom.org,2,mail/lojban-beginners/threads/2010/c252174f1434-lojban%2Eorg_is_a_wiki_%2Afor_a_reason%2A%2E.txt
lojban-beginners,ec6c7cedcd74-'jbo'_locale,23f4e3391002152236l2fbaac98j70af9180d2db353b@mail.gmail.com,2,mail/lojban-beginners/threads/2010/ec6c7cedcd74-'jbo'_locale.txt
lojban-beginners,d7f1d0905401-mau%2Fsemau,4de8c3931002160439g4b839b52y1fd5b1f258efa2ed@mail.gmail.com,2,mail/lojban-beginners/threads/2010/d7f1d0905401-mau%2Fsemau.txt
lojban-beginners,38cec923bfcb-preti_le_selpoi_be_lo_valsi,op.u75853p9ns2lb4@kobra,7,mail/lojban-beginners/threads/2010/38cec923bfcb-preti_le_selpoi_be_lo_valsi.txt
lojban-beginners,3b6fb7ea8bf2-not_needing_terminators,1f1080831002181721w425a462dpd6cdae84a97b4d0f@mail.gmail.com,14,mail/lojban-beginners/threads/2010/3b6fb7ea8bf2-not_needing_terminators.txt
lojban-beginners,425b4d4b81c8-is_this_right%3F,f5d9f4491002200735m4f41367ese62a6b6224fdd4cb@mail.gmail.com,13,mail/lojban-beginners/threads/2010/425b4d4b81c8-is_this_right%3F.txt
lojban-beginners,c59c5956484a-mex_remainder,4de8c3931002210415t4bcca4c1kd75de109836f051c@mail.gmail.com,7,mail/lojban-beginners/threads/2010/c59c5956484a-mex_remainder.txt
lojban-beginners,a56d4b632986-how_are_you%3F,f5d9f4491002240611s35a82589hed638343e2d2a5c7@mail.gmail.com,10,mail/lojban-beginners/threads/2010/a56d4b632986-how_are_you%3F.txt
lojban-beginners,20039015347d-class--and_non-gismu_vocab_in_general,1f1080831002242001p106c6ba1k4925ec3b8ededbce@mail.gmail.com,12,mail/lojban-beginners/threads/2010/20039015347d-class--and_non-gismu_vocab_in_general.txt
lojban-beginners,026eaa995592-introduction,82887.84847.qm@web32906.mail.mud.yahoo.com,20,mail/lojban-beginners/threads/2009/026eaa995592-introduction.txt
lojban-beginners,14d55fee2345-se_du'u%3F,1f1080831002101203r45ca1281o4e3a59a4443264a5@mail.gmail.com,7,mail/lojban-beginners/threads/2010/14d55fee2345-se_du'u%3F.txt
lojban-beginners,ac595a2b947f-tenses_in_abstractions,1f1080831002250758rb17bd2dk664e035452c298e4@mail.gmail.com,39,mail/lojban-beginners/threads/2010/ac595a2b947f-tenses_in_abstractions.txt
lojban-beginners,"49e6ebb12864-experience_safer,_longer_and_more_enjoyable_sex",000d01cab657$67221fa0$6400a8c0@rebelliousv4,1,"mail/lojban-beginners/threads/2010/49e6ebb12864-experience_safer,_longer_and_more_enjoyable_sex.txt"
lojban-beginners,7a5639fb27b7-coi,3d86c06f.3060104@mindlace.net,3,mail/lojban-beginners/threads/2002/7a5639fb27b7-coi.txt
