list,thread_key,root_message_id,messages,path
lojban-fr,a85f26ab9397-roumanie%2E%2E%2E,0faf277c-87d8-11d7-8fdd-003065e00134@free.fr,26,mail/lojban-fr/threads/2003/a85f26ab9397-roumanie%2E%2E%2E.txt
lojban-fr,"91be3bf4cd2e-test,_jeter_a_la_poubelle",611db744-885b-11d7-8a83-003065e00134@free.fr,3,"mail/lojban-fr/threads/2003/91be3bf4cd2e-test,_jeter_a_la_poubelle.txt"
lojban-fr,9d526cf1c15f-do_xu_ka'e_casnu_da_bau_le_lojbo,007e01c3268d$8a5eaad0$7c9eb280@ic.intranet.epfl.ch,1,mail/lojban-fr/threads/2003/9d526cf1c15f-do_xu_ka'e_casnu_da_bau_le_lojbo.txt
lojban-fr,18a7c39817c3-cipra_ledu'u_xokau_prenu_cu_se_bangu_la_lojban,20030531143927.j47376-100000@granite.thestonecutters.net,1,mail/lojban-fr/threads/2003/18a7c39817c3-cipra_ledu'u_xokau_prenu_cu_se_bangu_la_lojban.txt
lojban-fr,581f7855df3c-opinions_sought_on_new_resources_page_design%2E,20030602080035.gd12377@digitalkingdom.org,1,mail/lojban-fr/threads/2003/581f7855df3c-opinions_sought_on_new_resources_page_design%2E.txt
lojban-fr,bc7c6682e80d-opinions_sought_on_new_resources_page_design%2E,20030603215627.gz12377@digitalkingdom.org,1,mail/lojban-fr/threads/2003/bc7c6682e80d-opinions_sought_on_new_resources_page_design%2E.txt
lojban-fr,d0fb82227308-combien_sommes_nous,3ee339f9.9000702@epfl.ch,2,mail/lojban-fr/threads/2003/d0fb82227308-combien_sommes_nous.txt
lojban-fr,0e9c0fbb0fa1-bonjour,200308191315.00393.kak_kasak@yahoo.fr,13,mail/lojban-fr/threads/2003/0e9c0fbb0fa1-bonjour.txt
lojban-fr,0f6313d99dec-robert_heinlein,eeaf0d78-d34b-11d7-9d22-003065e00134@free.fr,1,mail/lojban-fr/threads/2003/0f6313d99dec-robert_heinlein.txt
lojban-fr,d36f3afb297c-do_bo_%28avant%3A_bonjour%29,cba19cdd.9cddcba1@imap.epfl.ch,2,mail/lojban-fr/threads/2003/d36f3afb297c-do_bo_%28avant%3A_bonjour%29.txt
lojban-fr,29b8b376bb56-text_for_beginners_-_chrestomathy_part_1,8ad9699f.699f8ad9@imap.epfl.ch,1,mail/lojban-fr/threads/2003/29b8b376bb56-text_for_beginners_-_chrestomathy_part_1.txt
lojban-fr,017443e18d5a-iso_639,8d9fa247-fa96-11d7-ac69-003065e00134@free.fr,1,mail/lojban-fr/threads/2003/017443e18d5a-iso_639.txt
lojban-fr,"d53c08effe76-saluton,_ubikuo_%21",a8c219c2-13ce-11d8-bee7-003065e00134@free.fr,4,"mail/lojban-fr/threads/2003/d53c08effe76-saluton,_ubikuo_%21.txt"
lojban-fr,3c3a298620e3-lojban-fr_digest_v1_%2323,e1ajve3-0008n8-qh@chain.digitalkingdom.org,4,mail/lojban-fr/threads/2003/3c3a298620e3-lojban-fr_digest_v1_%2323.txt
lojban-fr,706e36484a04-une_liste_pour_discuter_du_lojban_en_esperanto%,20031116114442.79937.qmail@web41508.mail.yahoo.com,2,mail/lojban-fr/threads/2003/706e36484a04-une_liste_pour_discuter_du_lojban_en_esperanto%.txt
lojban-fr,9d4df44bc6d7-bienvenue_%C3%A0_ilya_nikokoshev_%21,22ab87bd-2346-11d8-9546-003065e00134@free.fr,1,mail/lojban-fr/threads/2003/9d4df44bc6d7-bienvenue_%C3%A0_ilya_nikokoshev_%21.txt
lojban-fr,57b9beea3e16-tentative_de_lire_alice_aux_pays_des_merveilles,law12-f50d3dp8romuv0000e4a1@hotmail.com,2,mail/lojban-fr/threads/2003/57b9beea3e16-tentative_de_lire_alice_aux_pays_des_merveilles.txt
lojban-fr,1fbd79495f80-des_erreurs_dans_le_texte_intitul%C3%A9_l%C3%A9,bay15-f696nx8dydd3o00000050@hotmail.com,3,mail/lojban-fr/threads/2004/1fbd79495f80-des_erreurs_dans_le_texte_intitul%C3%A9_l%C3%A9.txt
lojban-fr,fa174403c165-cmalu_bloti,200404100320.20956.phma@webjockey.net,16,mail/lojban-fr/threads/2004/fa174403c165-cmalu_bloti.txt
lojban-fr,cb2741717a81-bienvenue_%C3%A0_yann,727ee959-c49c-11d8-ae49-003065e00134@free.fr,6,mail/lojban-fr/threads/2004/cb2741717a81-bienvenue_%C3%A0_yann.txt
lojban-fr,2c40bba12b93-lojban_speakers,pine.lnx.4.58.0406301142540.2589@neuron.noos.fr,6,mail/lojban-fr/threads/2004/2c40bba12b93-lojban_speakers.txt
lojban-fr,8198dbf217e5-lo_ropno_cu_rinsa_do,cb55c294-dc2a-11d8-9799-003065e00134@free.fr,2,mail/lojban-fr/threads/2004/8198dbf217e5-lo_ropno_cu_rinsa_do.txt
lojban-fr,d160aa3fea3e-european_mini-logfest_in_paris_%3A-%29,ed354f09-d056-11d8-80b1-003065e00134@free.fr,1,mail/lojban-fr/threads/2004/d160aa3fea3e-european_mini-logfest_in_paris_%3A-%29.txt
